award_show,category,year,winner,film,notes
Lux Style Awards,Best Television Writer,2011,Umera Ahmad,Meri Zaat Zarra-e-Benishan (Geo TV),Asghar Nadeem Syed-Bol Meri Machli (Geo TV) Vasay Chaudhry & Bushra Ansari-Dolly Ki Ayegi Baraat (Geo TV) Khalil-ur-Rehman-Mein Mar Gayi Shaukat Ali (A Plus) Zafar Mairaj-Ghar Ki Khatir (PTV)
Lux Style Awards,Best Artist of the Year,2011,Mauj,Technicolor,Kaavish-Gunkali Seige-Police
Lux Style Awards,Best Singer of the Year,2011,Shallum & Zara Madani,Payaam,Atif Aslam & Strings-Khud Kuch Karna Parega Symt-Zamana
Lux Style Awards,Best Music Producer,2011,Rohail Hyatt,Coke Studio,Faisal Rafi-Gunkali
Lux Style Awards,Best Video Director,2011,Bilal Lashari,Shor Macha,Kamran Yar Kami-Zamana Shahbaz Sumar-Mera Des
Lux Style Awards,Best Model of the Year (male),2011,Iftikhar Zafar,,Abdullah Ejaz Arsalan M.Mubarak Rohail Peerzada
Lux Style Awards,Best Model of the Year (female),2011,Rabia Butt,,Ayaan Mehreen Syed Cybil Chowdhry Nooray Bhatty
Lux Style Awards,Best Emerging Talent in Fashion,2011,Maheen Hussain,,Akif Mehmood Amna Ilyas Ali Xeeshan Mohsin Ali Shamal Qureishi-Tony & Guy
Lux Style Awards,Best Fashion Photographer/Videographer,2011,Rizwan,ul-Haq,Ayaz Anis Fayyaz Ahmed Maram Azmat & Abroo Hashmi Rizwan Baig
Lux Style Awards,Best Fashion Makeup & Hair Artist,2011,Creative Team at Nabila,,Maram Azmat Raana Khan Nighat Misbah Saba Ansari
Lux Style Awards,Best Achievement in Fashion Design (Prét),2011,Khaadi,,Kamiar Rokni Iman Ahmed at Body Focus Sara Shahid at Sublime Sonya Batla
Lux Style Awards,Best Achievement in Fashion Design (Luxury Prét),2011,Shameel Ansari,,Deepak Perwani Rana Noman at Bareeze Sadaf Malaterre Shehla Chatoor
Lux Style Awards,Best Achievement in Fashion Design (Lawn),2011,Sana Safinaz,,Junaid Jamshed Shameel Ansari Sonya Battla Yahsir Waheed
Lux Style Awards,Best Achievement in Fashion Design (Menswear),2011,Ismail Farid,,Hassan Sheheryar Yasin Republic Shakil Saigol Ammar Belal
Lux Style Awards,Best Retail Brand,2011,Khaadi,,Daaman Fnk Asia Generation Gulabo
Lux Style Awards,Best Dressed Male,2011,HSY,,
Lux Style Awards,Best Dressed Female,2011,Aamina Sheikh,,
Lux Style Awards,Most Stylish Sportsperson,2011,Aisam,ul-Haq,
Lux Style Awards,Lux Icon of Beauty,2011,Reema Khan,,
Lux Style Awards,Special Tribute,2011,Mo,Akhter,
Lux Style Awards,Lifetime Achievement Award in Fashion,2011,Samina Ibrahim,,
Lux Style Awards,Chairperson's Lifetime Achievement,2011,Mehnaz Begum,,
Lux Style Awards,Best Film,2012,,Bol,
Lux Style Awards,Best Actor,2012,Manzar Sehbai,Bol,
Lux Style Awards,Best Actress,2012,Humaima Malick,Bol,
Lux Style Awards,Best Television Serial – Terrestrial,2012,Tera Pyar Nahi Bhoole (PTV),,Aao Kahani Buntay Hain (PTV) Dil Behkay Ga (PTV) Jeena Tou Ha (PTV) Kachra Kundi (PTV)
Lux Style Awards,Best Television Serial – Satellite,2012,Mera Saae,(ARY Digital),Kis Din Mera Viyah Howay Ga (Geo TV) Mera Naseeb (Hum TV) Pani Jaisa Pyar (Hum TV) Takkay ki Ayegi Baraat (Geo TV)
Lux Style Awards,Best Television Actor – Satellite,2012,Faisal Qureshi,Roag (ARY Digital),Ali Safina – Takkay ki Ayegi Baraat (Geo TV) Fahad Mustafa – Main Abdul Qadir Hoon (Hum TV) Fahad Mustafa – Mastana Mahi (Hum TV) Noman Ejaz – Mera Saaein (ARY Digital)
Lux Style Awards,Best Television Actress – Satellite,2012,Savera Nadeem,Qaid-e-Tanhai (Hum TV),Aamina Sheikh – Umm-e-Kulsoom (ARY Digital) Beenish Chohan – Mera Saaein (ARY Digital)[citation needed] Hina Dilpazeer – Tum Ho Ke Chup (Geo TV) Saba Qamar – Pani Jaisa Pyar (Hum TV)
Lux Style Awards,Best Television Actor – Terrestrial,2012,Noman Ejaz,Aao Kahani Buntay Hain (PTV),Junaid Khan – Dil Ki Lagi (ATV) Mehmood Aslam – Aankh Salamat Andhay Log(ATV) Moammar Rana – Aankh Salamat Andhay Log (ATV) Ahsan Khan – Tera Pyar Nahi Bhoole (PTV)
Lux Style Awards,Best Television Actress – Terrestrial,2012,Sanam Baloch,Sehra Teri Pyas (PTV),Mahjabeen Sumbal – Kachra Kundi (PTV) Maira Khan – Aankh Salamat Andhay Log (ATV) Saba Qamar – Tera Pyar Nahi Bhoole (PTV) Sania Saeed – Aao Kahani Buntay Hain (PTV)
Lux Style Awards,Best Television Director,2012,Sarmad Khoosat,Pani Jaisa Pyar (Hum TV),Adnan Ahmed – Mera Naseeb (Hum TV) Babar Javed – Mera Saaein (ARY Digital) Kanwal Khoosat – Aao Kahani Buntay Hain (PTV) Yasir Nawaz – Uraan (Geo TV)
Lux Style Awards,Best Television Writer,2012,Samira Fazal,Mera Naseeb (Hum TV),Anwar Sajjad – Dil Behkay Ga Umera Ahmad – Qaid-e-Tanhai (Hum TV) Samira Fazal – Mera Saaein (ARY Digital) Umera Ahmad – Uraan (Geo TV)
Lux Style Awards,Best Album,2012,Jhoom,Ali Zafar,Beyond Kismat – Josh Uss Paar – Qyaas Dhoom – Call Umeed – Bilal Khan
Lux Style Awards,Best Music Video Director,2012,Shahbaz Shigri & Aisha Akhtar,Paki Rambo’ (Adil Omar),Sumit Bhardwaj – Pyar Ho Gaya’ (Josh) Adnan Malik – Mera Bichra Yaar’ (Zoe Viccaji & Strings) Farhad Humayun – ‘Batti’ (Overload) Jami – – ‘Bum Paata’ (Ali Azmat)
Lux Style Awards,Best Original Soundtrack,2012,Qurat-ul-Ain Balouch,Humsafar (Hum TV),Atif Aslam and Hadiqa Kiani – Bol Ahmed Jahanzeb – Khuda Aur Muhabbat (Geo TV) Ifti – Main Abdul Qadir Hoon (Hum TV) Riaz Ali Khan – Qaid-e-Tanhai (Hum TV)
Lux Style Awards,Best Song of the Year,2012,Woh Humsafar Tha,Qurat-ul-Ain Balouch,Bum Phata – Ali Azmat Hona Tha Pyaar – Atif Aslam and Hadiqa Kiani Jhoom – Ali Zafar Mera Bichra Yaar – Strings and Zoe Viccaji
Lux Style Awards,Best Emerging Talent in Music,2012,Adil Omar,,Poor Rich Boy Ram Lal Usman Riaz
Lux Style Awards,Best Model of the Year - Female,2012,Rabia Butt,,Ayyan Ali Fouzia Aman Cybil Chaudhry Amna Ilyas
Lux Style Awards,Best Model of the Year - Male,2012,Abbas Jafri,,Iffi Zafar Kashif Deewan Waleed Khalid
Lux Style Awards,Best Achievement in Fashion Design - Luxury Prèt,2012,Sania Maskatiya,,Adnan Pardesy Shehla Chatoor Ali Xeeshan Khadija Shah of Elan
Lux Style Awards,Best Achievement in Fashion Design - Prèt,2012,Kamiar Rokni,,Khaadi Sanam Chaudhri Sania Maskatiya Body Focus
Lux Style Awards,Best Achievement in Fashion Design - Lawn,2012,Sana Safinaz,,Deepak Perwani for Orient Umar Sayeed for Al-Karam Khaadi Wardah Saleem
Lux Style Awards,Best Achievement in Fashion Design - Menswear,2012,Omar Farooq of Republic,,Hassan Sheheryar Yasin Fahad Hussayn Ismail Farid Jazib Qamar
Lux Style Awards,Best High Street Brand,2012,Zaheer Abbas (Designer),,Akif Mehmood (Designer) Mohsin Ali (Designer) Mohsin Ali (Designer) Nadir Firoz Khan & Maha Burney at NFK Photography (Styling & Photography)
Lux Style Awards,Best Emerging Talent in Fashion,2012,Amna Babar,Female Model,Azeem Sani - Fashion Photographer Mahgul Rashid - Fashion Designer Natasha and Saloon - Hair and Makeup Artist Tabesh Oza - Male Model
Lux Style Awards,Best Television Serial – Terrestrial,2013,Paayal (PTV),,Qeemat (A Plus) Talafi (PTV) Mein (PTV) Mein Mohabbat aur Tum (A Plus)
Lux Style Awards,Best Television Serial – Satellite,2013,Humsafar (Hum TV),,Man Jali (Geo TV) Mera Yaqeen (ARY Digital) Shehr-e-Zaat (Hum TV) Maat (Hum TV)
Lux Style Awards,Best Television Actor – Satellite,2013,Fawad Khan,Humsafar (Hum TV),Shahood Alvi – Mere Huzoor (Express Entertainment) Imran Aslam – Sanjha (Hum TV) Adnan Siddiqui – Mere Qatil Mere Dildar (Hum TV) Faisal Qureshi – Jahez (Geo TV)
Lux Style Awards,Best Television Actress – Satellite,2013,Mahira Khan,Humsafar (Hum TV),Mehwish Hayat – Mere Qatil Mere Dildar (Hum TV) Saba Hameed – Man Jali (Geo TV) Hina Dilpazeer – Quddusi Sahab Ki Bewa (ARY Digital) Saba Qamar – Maat (Hum TV)
Lux Style Awards,Best Television Actor – Terrestrial,2013,Noman Ejaz,Qeemat (A Plus),"Babar Ali – Mein (PTV) Sami Khan – Mein (PTV) Kashif Mehmood – Love, Life Aur Lahore (A Plus) Saleem Sheikh – Anokha Ladla (PTV)"
Lux Style Awards,Best Television Actress – Terrestrial,2013,Mahnoor Baloch,Talafi (PTV),"Fiza Ali – Love, Life Aur Lahore (A Plus) Beenish Chohan – Chalo Phir Se Jee Kar Dekhain.(PTV) Mehwish Hayat – Mein (PTV) Resham – Ik Yaad Hay Baqi (A Plus)"
Lux Style Awards,Best Television Director,2013,Sarmad Khoosat,Humsafar (Hum TV),Amna Nawaz Khan – Maat (Hum TV) Kashif Nisar – Mein (PTV) Nadeem Beyg – Man Jali (Geo TV) Haissam Hussain – Durr-e-Shehwar (Hum TV)
Lux Style Awards,Best Television Writer,2013,Khalil-ur-Rehman Qamar,Man Jali (Geo TV),Amna Mufti – Jahez (Geo TV) Umera Ahmad – Maat (Hum TV) Seema Munaf – Talafi (PTV) Faiza Iftikhar – Bilqees Kaur (Hum TV)
Lux Style Awards,Best Television Track,2013,Ali Zafar,Zindagi Gulzar Hai (Hum TV),Qurat-ul-Ain Balouch – Roshan Sitara (Hum TV) Bilal Khan – Mata-e-Jaan Hai Tu (Hum TV) Abida Parveen – Shehr-e-Zaat (Hum TV) Zoe Viccaji – Tanhaiyan Naye Silsilay (ARY Digital)
Lux Style Awards,Best Album,2013,Khamoshi,Ayesha Omer,Chahar Balish – Sajjad Ali Circus in the Sky – Usman Riaz Naubahar – Dynoman The Harvest – Sajjad and Zain
Lux Style Awards,Best Music Video Director,2013,Farhad Humayun,Ankahi,Hammad Khan – Ane De Sohaib Akhtar – Khamoshi Taimoor Salahuddin – Kahani Purani Taimoor Salahuddin – Awam
Lux Style Awards,Best Song of the Year,2013,Katna Nae,by Sajjad Ali,"Ankahi"" – by Overload ""Pi Jaun"" – by Farhan Saeed ""Jaag"" – by Jarar Malik ""Kahani Puraani"" – Mooroo"
Lux Style Awards,Best Emerging Talent in Music,2013,Ahmed Sadiq,,Faris Shafi Mooroo Sibti Naseer and Shahb
Lux Style Awards,Best Model of the Year - Male,2013,Shahzad Noor,,Ather Amin Abbas Jaffri Waleed Khalid Jahan-e-Khalid
Lux Style Awards,Best Model of the Year - Female,2013,Mehreen Syed,,Cybil Choudhry Amna Illyas Ayyan Rabia Butt
Lux Style Awards,Best Achievement in Fashion Design - Luxury Prèt,2013,Iman Ahmed of Body Focus,,Saniya Maskatiya Shehla Chatoor Maheen Karim Khadija Shah
Lux Style Awards,Best Achievement in Fashion Design - Prèt,2013,Iman Ahmed of Body Focus,,Warda Saleem Sanam Chaudhri Sania Maskatiya Feeha Jamshed
Lux Style Awards,Best Achievement in Fashion Design - Lawn,2013,Sana Safinaz,,Deepak Perwani for Orient Kamal Lawn Khaadi Mahnoush
Lux Style Awards,Best Achievement in Fashion Design - Menswear,2013,Ammar Bilal,,Amir Adnan Ahmaed Bham Republic by Omer Farooq
Lux Style Awards,Best Fashion Photographer,2013,Guddu Shani,,Ayaz Sani fayyaz Amed Nadir Feroz Khan Rizwan Ul Haq
Lux Style Awards,Best Hair and Makeup Artist,2013,Creative Team at Nabila,,Tariq Amin Maram Azmat Rana Khan Shammal Qureishi Aabroo Hashimi
Lux Style Awards,Best High Street Brand,2013,Khaadi,,Ggulabo Daaman Rang Ja The Working Woman
Lux Style Awards,Best Emerging Talent in Fashion,2013,Saima Azhar,,Misha Lakhani Sana Sarfaraz Natasha's Salon Abdullah Haris
Lux Style Awards,Best Film,2014,,Zinda Bhaag,Main Hoon Shahid Afridi Siyaah Waar
Lux Style Awards,Best Director,2014,Meenu Gaur and Farjad Nabi,Zinda Bhaag,Syed Ali Raza Usama – Main Hoon Shahid Afridi Azfar Jafri – Siyaah Bilal Lashari – Waar
Lux Style Awards,Best Actor,2014,Khurram Patras,Zinda Bhaag,Humayun Saeed – Main Hoon Shahid Afridi Mohib Mirza – Seedlings Gohar Rasheed – Seedlings Shaan Shahid – Waar
Lux Style Awards,Best Actress,2014,Aamina Sheikh,Seedlings,Hareem Farooq – Siyaah Mahnoor Usman – Siyaah Aamina Sheikh – Josh Amna Ilyas – Zinda Bhaag
Lux Style Awards,Best Television Serial - Satellite,2014,Daagh (ARY Digital),,Aun Zara (A Plus) Rehaai (Hum TV) Nanhi (Geo TV) Ullu Baraye Farokht Nahi (Hum TV)
Lux Style Awards,Best Television Serial - Terrestrial,2014,Mar Jayen Hum tu Kiya (ATV),,Daag-e-Nadamat (PTV) Dil Awaiz (PTV) Kami Reh Gaee (PTV) Kuch Is Tarah (PTV)
Lux Style Awards,Best Television Actor - Satellite,2014,Fawad Khan,Zindagi Gulzar Hai (Hum TV),Fahad Mustafa – Daagh (ARY Digital) Fahad Mustafa – Kankar (Hum TV) Noman Ejaz – Rehaai (Hum TV) Noman Ejaz – Ullu Baraye Farokht Nahi (Hum TV)
Lux Style Awards,Best Television Actress - Satellite,2014,Sanam Saeed,Zindagi Gulzar Hai (Hum TV),Meher Bano – Daagh (ARY Digital) Sajal Ali – Nanhi (Geo TV) Samina Peerzada – Rehaai (Hum TV) Irsa Ghazal – Ullu Baraye Farokht Nahi (Hum TV)
Lux Style Awards,Best Television Actor - Terrestrial,2014,Noman Ejaz,Kami Reh Gaee (PTV),Faisal Rehman – Daag-e-Nadamat (PTV) Noman Ejaz – Dil Awaiz (PTV) Noor Hassan Rizvi – Kuch Is Tarha (PTV) Mohib Mirza – Roshni Andhera Roshni (ATV)
Lux Style Awards,Best Television Actress - Terrestrial,2014,Yamina Peerzada,Roshni Andhera Roshni (ATV),Mehwish Hayat – Kami Reh Gaee (PTV) Mehreen Raheel – Daag-e-Nadamat (PTV) Sana Nawaz – Dil Awaiz (PTV) Aamina Sheikh – Kuch Is Tarha (PTV)
Lux Style Awards,Best Television Director,2014,Haseeb Hassan,Nanhi (Geo TV),Haissam Hussain – Aun Zara (A Plus) Mehreen Jabbar – Rehaai (Hum TV) Kashif Nisar – Ullu Baraye Farokht Nahi (Hum TV) Sultana Siddiqui – Zindagi Gulzar Hai (Hum TV)
Lux Style Awards,Best Television Writer,2014,Amna Mufti,Ullu Baraye Farokht Nahi (Hum TV),Moona Haseeb – Nanhi (Geo TV) Faiza Iftikhar – Aun Zara (A Plus) Farhat Ishtiaq – Rehaai (Hum TV) Umera Ahmad – Zindagi Gulzar Hai (Hum TV)
Lux Style Awards,Best Album,2014,Yaraan Di toli,Rizwan Ali Jaffri,Piyas – Jal The Mushroom Cloud Effect – Adil Omar Sargoshiyan – Saturn
Lux Style Awards,Best Music Video Director,2014,Yasir Jaswal,Bolay,Adeel PK – Waris Shah Adnan Khandar – Main Sufi Hun Adnan Malik – My Punjabi Love for You Yasir Jaswal – Akhri Bar Milo
Lux Style Awards,Best Original Soundtrack,2014,Humayun Saeed and Shahzad Nasib,Main Hoon Shahid Afridi,Aaron Haroon Rashid – Burka Avenger (Geo Tez) Amir Munawar – Waar Naureen Ali Sidiki – Mujhe Khuda Pe Yaqeen Hai (Hum TV) Mazhar Zaidi – Zinda Bhaag
Lux Style Awards,Best Song of the Year,2014,Malal,Rahat Fateh Ali Khan,Bolay – Uair Jaswal Har Zulm – Sajjad Ali Jeet – Qayas Khair Mangdi – Bilal Saeed
Lux Style Awards,Best Emerging Talent in Music,2014,Shehryar Mirza,,Bell Disbelief Fables of Cantt Soch
Lux Style Awards,Best Model of the Year - Female,2014,Cybil Chaudhry,,Amna Ilyas Fouzia Aman Nooray Bhatty Rabia Butt
Lux Style Awards,Best Model of the Year - Male,2014,Abbas Jafri,,Athar Amin Jahan-e-Khalid Rizwan Ali Jafri Waleed Khalid
Lux Style Awards,Best Fashion Photographer,2014,Rizwan,ul-Haq,Abdullah Harris Guddu Shani Maram & Aabroo Nadir and Maha
Lux Style Awards,Best Hair and Makeup Artist,2014,Nabila Maqsood,,Maram & Aabroo Nighat Misbah Rana Khan
Lux Style Awards,Best Achievement in Fashion Design - Luxury Prèt,2014,Sania Maskatiya,,Ali Xeeshan Elan Sana Safinaz Shela Chatoor
Lux Style Awards,Best Achievement in Fashion Design - Prèt,2014,Body Focus,,Khaadi Sana Safinaz Sania Maskatiya Sublime
Lux Style Awards,Best Achievement in Fashion Design - Lawn,2014,Sania Maskatiya,,Elan Fahad Hussayn Sana Safinaz Faraz Mannan
Lux Style Awards,Best Achievement in Fashion Design - Menswear,2014,Ahmad Bham,,Fahad Hussayn Hassan Shehryar Yasin Nauman Arfeen
Lux Style Awards,Best High Street Brand,2014,Khaadi,,Daaman Gulabo MK nation Sana Safinaz
Lux Style Awards,Best Emerging Talent in Fashion,2014,Amna Babar,Female Model,Azeem Sani - Fashion Photographer Mahgul Rashid - Fashion Designer Natasha and Saloon - Hair and Makeup Artist Tabesh Oza - Male Model
Lux Style Awards,Strikethrough,2015,denotes the entires that were nominated but later cancelled.,,
Lux Style Awards,Best Film,2015,,Na Maloom Afraad,Dukhtar O21
Lux Style Awards,Best Director,2015,Nabeel Qureshi,Na Maloom Afraad,Dukhtar – Afia Nathaniel and Muhammad Khalid Ali O21 – Jami and Summer Nicks
Lux Style Awards,Best Actor,2015,Javed Sheikh,Na Maloom Afraad,Fahad Mustafa – Na Maloom Afraad Mohsin Abbas Haider – Na Maloom Afraad Salman Shahid – Na Maloom Afraad Ayub Khoso -021
Lux Style Awards,Best Actress,2015,Saleha Aref,Dukhtar,Samiya Mumtaz – Dukhtar Urwa Hocain – Na Maloom Afraad
Lux Style Awards,Best Television Play,2015,Pyaray Afzal (ARY Digital),,Chup Raho (ARY Digital) Aasmanon Pay Likha (Geo TV) Main Bushra (ARY Digital) Marasim (A Plus) Shikwa (ARY Digital)
Lux Style Awards,Best Television Director,2015,Nadeem Baig,Pyaray Afzal (ARY Digital),Kashif Nisar – Sannata (ARY Digital) Mohsin Mirza – Aasmanon Pay Likha (Geo TV) Rubina Ashraf-Shikwa (ARY Digital) Yasir Nawaz – Shukk (ARY Digital)
Lux Style Awards,Best Television Actor,2015,Hamza Ali Abbasi,Pyaray Afzal (ARY Digital),Firdous Jamal – Pyaray Afzal (ARY Digital) Syed Jibran – Chup Raho (ARY Digital) Faisal Quershi – Bashar Momin (Geo TV) Azfar Rehman – New York Se New Karachi (TV One)
Lux Style Awards,Best Television Actress,2015,Ayeza Khan,Pyaray Afzal (ARY Digital),Saba Hameed – Pyaray Afzal (ARY Digital) Saba Qamar – Sannata (ARY Digital) Sajjal Ali – Sannata (ARY Digital) Sanam Jung – Mere Humdum Mere Dost (Urdu 1)
Lux Style Awards,Best Television Writer,2015,Khalil-ur-Rehman Qamar,Pyaray Afzal (ARY Digital),Saji Gul – Sannata (ARY Digital) Sanam Mehdi – Main Bushra (ARY Digital) Samira Fazal – Chup Raho (ARY Digital) Zanjabeel Asim Shah – Marasim (A Plus)
Lux Style Awards,Best Album Of the Year,2015,Dareeche,Zoe Viccaji,Andholan – Mekaal Hasan Tamam Alam Mast – Abbas Ali Khan
Lux Style Awards,Best Music Video Director,2015,Adnan Kandhar,Dil Main Chumke by Josh,Aflatoon – Itni Chikni by Mooroo and Ali Gul Pir Shahbaz Hamid Shigri and Aisha Linnea Akthar – Exploding Heart by Adil Omar Sohail Javed – Tharki Sala by Annie Khalid Yasir Jaswal – Roiyaan by Farhan
Lux Style Awards,Best Original Soundtrack,2015,Fizza Ali Meerza / Nabeel Qureshi,Na Maloom Afraad,Afia Nathaniel / Muhammad Khalid Ali –Dukhtar Saad Sultan – Jackson Heights (Urdu 1) Shahzad Nasib and Humayun Saeed –Nazdeekiyaan (ARY Digital)
Lux Style Awards,Best Song of the Year,2015,Roiyaan,Farhan Saeed,"Badnaam"" – Sibti & Spoonful ""Billi"" – Saima Iqbal in Na Maloom Afraad ""Nadiya Par Par Karke"" – Jimmy Khan ""Sub Akho Ali Ali"" – Asrar"
Lux Style Awards,Best Emerging Talent in Music,2015,Sara Haider,,Masooma Shajie Hassan Young Stunners Zunair Khalid
Lux Style Awards,Best Model of the Year - Male,2015,Shahzad Noor,,Athar Amin Jahan-e-Khalid Sharjeel Baig Waleed Khalid
Lux Style Awards,Best Model of the Year - Female,2015,Amna Ilyas,,Amna Babar Cybil Chaudhry Fayezah Ansari Nadia Ali Nooray Bhatty
Lux Style Awards,Best Fashion Photographer,2015,NFK Photography,,Abdullah Haris Ayaz Anis Guddu Shani Rizwan-ul-Haq
Lux Style Awards,Best Hair and Makeup Artist,2015,Nabila,,"Maram Aabroo Natasha Khalid at Natasha's salon Raana Khan Shammal Qureishi at Toni & Guy, Lahore"
Lux Style Awards,Best Achievement in Fashion Design - Luxury Prèt,2015,Sana Safinaz at Sana Safinaz,,Khadijah Shah at Elan Maheen Karim at Maheen Karim Shamaeel Ansari at Shamaeel Ansari Shehla Chatoor at Shehla Chatoor
Lux Style Awards,Best Achievement in Fashion Design - Prèt,2015,Sana Safinaz,,Daaman Gulabo Nida Azwer Sania Maskatiya
Lux Style Awards,Best Achievement in Fashion Design - Lawn,2015,Sana Safinaz,,Elan Kayseria Khaadi Maria B
Lux Style Awards,Best Achievement in Fashion Design - Bridal,2015,Nomi Ansari,,Fahad Hussayn Misha Lakhani Sana Safinaz Sania Maskatiya
Lux Style Awards,Best Designer Menswear,2015,Ismail Farid,,Ahmed Bham Deepak Parwani Hassan Sheheryar Yasin Republic by Omar Farooq
Lux Style Awards,Best Emerging Talent in Fashion,2015,Sadaf Kanwal,Model,Hasnain Lehri – Model Mahgul Rashid – Designer Muzi Sufi – Photographer Saira*Shakira – Designers
Lux Style Awards,Best Film,2016,,Moor,Jawani Phir Nahi Ani Manto Shah Wrong No.
Lux Style Awards,Best Director,2016,Jami,Moor,Adnan Sarwar – Shah Momina Duraid and Shahzad Kashmiri – Bin Roye Nadeem baig – Jawani Phir Nahi Ani Sarmad Sultan Khoosat – Manto
Lux Style Awards,Best Actor,2016,Humayun Saeed,Jawani Phir Nahi Ani,Adnan Sarwar – Shah Danish Taimoor – Wrong No. Hameed Sheikh – Moor Sarmad Sultan Khoosat – Manto
Lux Style Awards,Best Actress,2016,Mahira Khan,Bin Roye,Samia Mumtaz – Moor Mehwish Hayat – Jawani Phir Nahi Ani Sania Saeed – Manto Sohai Ali Abro – Wrong No.
Lux Style Awards,Best Supporting Actor,2016,Javed Sheikh,Wrong No.,Ahmed Ali Butt – Jawani Phir Nahi Ani Ali Safina – Jalaibee Shaz Khan – Moor Vasay Chaudhry – Jawani Phir Nahi Ani Yasir Hussain – Karachi se Lahore
Lux Style Awards,Best Supporting Actress,2016,Ayesha Khan,Jawani Phir Nahi Ani,Armeena Rana Khan – Bin Roye Nimra Bucha – Manto Sarwat Gillani – Jawani Phir Nahi Ani Sohai Ali Abro – Jawani Phir Nahi Ani
Lux Style Awards,Best Playback Singer - Male,2016,Rahat Fateh Ali Khan,"Teray Bina Jeena"" from Bin Roye","Ali Noor and Ali Hamza – ""Baysabar"" from Karachi Se Lahore Ali Sethi – ""Aah Ko Chahiye"" from Manto Javed Bashir – ""Talabgaar"" from Moor Rahim Shah – ""Gul Bashri"" from Moor"
Lux Style Awards,Best Playback Singer - Female,2016,Abida Parveen,"Maula"" from Bin Roye","Zebunnisa Bangash – ""Kya Hoga"" from Manto Meesha Shafi – ""Eva"" from Moor Harshdeep Kaur – ""Ballay Ballay"" from Bin Roye Zarish – ""Rabbi Ralli"" from Karachi Se Lahore"
Lux Style Awards,Best Television Play,2016,Diyar,e-Dil (Hum TV),Mohabbat Aag Si (Hum TV) Muqaddas (Hum TV) Rang Laaga (ARY Digital) Sadqay Tumhare (Hum TV)
Lux Style Awards,Best Television Director,2016,Anjum Shahzad,Rang Laaga (ARY Digital),Aamir Yousuf - Aap ki Kaneez (Geo TV) Ehteshamuddin – Sadqay Tumhare (Hum TV) Haseeb Hassan – Diyar-e-Dil (Hum TV) Sabiha Sumar – Khuda Dekh Raha Hai (A Plus)
Lux Style Awards,Best Television Actor,2016,Faisal Quershi,Rang Laaga (ARY Digital),Adnan Malik – Sadqay Tumhare (Hum TV) Noman Ejaz – Zinda Dargor (ARY Digital) Noor Hassan Rizvi – Muqaddas (Hum TV) Osman Khalid Butt – Diyar-e-Dil (Hum TV)
Lux Style Awards,Best Television Actress,2016,Mahira Khan,Sadqay Tumhare (Hum TV),Iffat Rahim – Mohabbat Aag Si (Hum TV) Maya Ali – Diyar-e-Dil (Hum TV) Saima Noor – Rang Laaga (ARY Digital) Sajjal Ali – Khuda Dekh Raha Hai (A Plus)
Lux Style Awards,Best Television Writer,2016,Khalil-ur-Rehman Qamar,Sadqay Tumhare (Hum TV),Adeel Razzaq – Muqaddas (Hum TV) Farhat Ishtiaq – Diyar-e-Dil (Hum TV) Imran Nazir – Mohabbat Aag Si (Hum TV) Sana Fahad – Rang Laaga (ARY Digital)
Lux Style Awards,Best Original Soundtrack,2016,Diyar-e-Dil,Zeb Bangash and Momin Durrani (Hum TV),Alvida – Shafqat Amanat Ali (Hum TV) Dusri Bivi – Ahmed Jahanzeb (ARY Digital) Mohabbat Aag Si – Shafqat Salamat Ali & Beena Khan (Hum TV) Mol – Bushra Bilal (Hum TV)
Lux Style Awards,Best Album Of the Year,2016,Begum Gul Bakaoli Sarfarosh,Noori,Bahadur Yaar Jung – E Sharp Till the End of Time – Natasha Humera Ejaz Ismail ka Urdu Sheher – Zohaib Kazi Saturday Night Killing Machine – Adil Omar and Talal Qureshi
Lux Style Awards,Best Song of the Year,2016,Rockstar Romeo,Ali Zafar,"Jogiya"" – Javed Bashir ""Sarak Sarak"" – Mai Dhai Band ""Shakar Wandaan"" – Asrar ""Tamasha"" – Khumariyaan"
Lux Style Awards,Best Music Video Director,2016,Salman Noorani,Mariam by Mooroo,Adil Omar – Nighat & Paras by Adil Omar & Talal Qureshi Kamal Khan – Wake Up/Jaago by Zohaib Kazi Nadir Shehzad Khan – Baaghi by Sikandar Ka Mandar Natasha Humera Ejaz & Shahrukh Khurshid – Khwab by N
Lux Style Awards,Best Emerging Talent in Music,2016,Slow Spin,,Ali Suhail Mehdi Maloof Some What Super The Tamashbeens
Lux Style Awards,Best Model of the Year - Male,2016,Hasna,Lehri,Aimal Khan Jahan-e-Khalid Shahzad Noor Waleed Khaild
Lux Style Awards,Best Model of the Year - Female,2016,Fouzia Aman,,Amna Babar Nooray Bhatty Rabia Butt Sadaf Kanwal
Lux Style Awards,Best Fashion Photographer,2016,Abdullah Harris,,Ayaz Anis Guddu Shani Rizwan ul Haq Shahbaz Shazi
Lux Style Awards,Best Hair and Makeup Artist,2016,Nabila,,Hannan Siddique Omayr Waqar Raana Khan Shammal Qureshi for Toni & Guy (North Pakistan)
Lux Style Awards,Best Achievement in Fashion Design - Luxury Prèt,2016,Shamaeel Ansari,,Mahgul Misha Lakhani Muse Sania Maskatiya
Lux Style Awards,Best Achievement in Fashion Design - Prèt,2016,Generation,,Coco by Zara Shahjahan Daaman Sana Safinaz Sapphire
